id,name,artistName,category,profile,concept,iconImageUrl,imageUrl,instagram,x,website,work1Title,work1Description,work1ImageUrl,work2Title,work2Description,work2ImageUrl
creator-014,遠野 霞,kasumi,Fashion,淡い色彩と緻密な構図で、言葉になる前の感情を視覚化することをテーマに活動。Fashionを軸に、展示空間で立ち上がる視線の動きを大切にしている。,花が咲く前の沈黙と、羽が空気を掴む直前の緊張をモチーフにしています。,/images/creators/creator-014/icon.svg,/images/creators/creator-014/main.svg,https://example.com/instagram/kasumi,https://example.com/x/kasumi,https://example.com/kasumi,Soft Signal 014,淡い光、紙の質感、視線の揺れを重ねたシリーズ作品。会場での距離によって印象が変化する。,/images/creators/creator-014/main.svg,Unlabeled Bloom 014,名前のない感情が形になる直前を扱った小作品。羽花展のコンセプトに合わせて再構成予定。,/images/creators/creator-014/main.svg
creator-015,日向 未,hitsuji,Music,個人的な記録を起点に、同世代の不安や期待が重なる瞬間を表現している。Musicを軸に、展示空間で立ち上がる視線の動きを大切にしている。,匿名性のある都市の風景から、個人の輪郭がふっと立ち上がる感覚を探ります。,/images/creators/creator-015/icon.svg,/images/creators/creator-015/main.svg,https://example.com/instagram/hitsuji,https://example.com/x/hitsuji,https://example.com/hitsuji,Soft Signal 015,淡い光、紙の質感、視線の揺れを重ねたシリーズ作品。会場での距離によって印象が変化する。,/images/creators/creator-015/main.svg,Unlabeled Bloom 015,名前のない感情が形になる直前を扱った小作品。羽花展のコンセプトに合わせて再構成予定。,/images/creators/creator-015/main.svg
creator-016,深町 綴,tsuzuri,Installation,日常の中に残る小さな違和感を採集し、静かな線と余白で再構成するクリエイター。Installationを軸に、展示空間で立ち上がる視線の動きを大切にしている。,羽花展では、軽やかさと脆さが同時に存在する瞬間を、複数のレイヤーとして提示します。,/images/creators/creator-016/icon.svg,/images/creators/creator-016/main.svg,https://example.com/instagram/tsuzuri,https://example.com/x/tsuzuri,https://example.com/tsuzuri,Soft Signal 016,淡い光、紙の質感、視線の揺れを重ねたシリーズ作品。会場での距離によって印象が変化する。,/images/creators/creator-016/main.svg,Unlabeled Bloom 016,名前のない感情が形になる直前を扱った小作品。羽花展のコンセプトに合わせて再構成予定。,/images/creators/creator-016/main.svg
creator-017,相原 響,hibiki,Painting,身体感覚、記憶、都市の温度を横断しながら、鑑賞者の内側に残る像を探っている。Paintingを軸に、展示空間で立ち上がる視線の動きを大切にしている。,見落とされがちな気配を作品化し、鑑賞者が自分の記憶と照らし合わせられる余白を残します。,/images/creators/creator-017/icon.svg,/images/creators/creator-017/main.svg,https://example.com/instagram/hibiki,https://example.com/x/hibiki,https://example.com/hibiki,Soft Signal 017,淡い光、紙の質感、視線の揺れを重ねたシリーズ作品。会場での距離によって印象が変化する。,/images/creators/creator-017/main.svg,Unlabeled Bloom 017,名前のない感情が形になる直前を扱った小作品。羽花展のコンセプトに合わせて再構成予定。,/images/creators/creator-017/main.svg
creator-018,倉橋 紬,tsumugi,Digital Art,素材の手触りとデジタルの精度を行き来し、未完成の美しさを作品に定着させる。Digital Artを軸に、展示空間で立ち上がる視線の動きを大切にしている。,偶然に生まれるにじみ、影、反射を受け入れながら、完成と未完成の境界を扱います。,/images/creators/creator-018/icon.svg,/images/creators/creator-018/main.svg,https://example.com/instagram/tsumugi,https://example.com/x/tsumugi,https://example.com/tsumugi,Soft Signal 018,淡い光、紙の質感、視線の揺れを重ねたシリーズ作品。会場での距離によって印象が変化する。,/images/creators/creator-018/main.svg,Unlabeled Bloom 018,名前のない感情が形になる直前を扱った小作品。羽花展のコンセプトに合わせて再構成予定。,/images/creators/creator-018/main.svg
creator-019,佐伯 余白,margin,Mixed Media,淡い色彩と緻密な構図で、言葉になる前の感情を視覚化することをテーマに活動。Mixed Mediaを軸に、展示空間で立ち上がる視線の動きを大切にしている。,花が咲く前の沈黙と、羽が空気を掴む直前の緊張をモチーフにしています。,/images/creators/creator-019/icon.svg,/images/creators/creator-019/main.svg,https://example.com/instagram/margin,https://example.com/x/margin,https://example.com/margin,Soft Signal 019,淡い光、紙の質感、視線の揺れを重ねたシリーズ作品。会場での距離によって印象が変化する。,/images/creators/creator-019/main.svg,Unlabeled Bloom 019,名前のない感情が形になる直前を扱った小作品。羽花展のコンセプトに合わせて再構成予定。,/images/creators/creator-019/main.svg
creator-020,羽柴 玲,rei,Product,個人的な記録を起点に、同世代の不安や期待が重なる瞬間を表現している。Productを軸に、展示空間で立ち上がる視線の動きを大切にしている。,匿名性のある都市の風景から、個人の輪郭がふっと立ち上がる感覚を探ります。,/images/creators/creator-020/icon.svg,/images/creators/creator-020/main.svg,https://example.com/instagram/rei,https://example.com/x/rei,https://example.com/rei,Soft Signal 020,淡い光、紙の質感、視線の揺れを重ねたシリーズ作品。会場での距離によって印象が変化する。,/images/creators/creator-020/main.svg,Unlabeled Bloom 020,名前のない感情が形になる直前を扱った小作品。羽花展のコンセプトに合わせて再構成予定。,/images/creators/creator-020/main.svg
creator-021,千歳 透花,touka,Illustration,日常の中に残る小さな違和感を採集し、静かな線と余白で再構成するクリエイター。Illustrationを軸に、展示空間で立ち上がる視線の動きを大切にしている。,羽花展では、軽やかさと脆さが同時に存在する瞬間を、複数のレイヤーとして提示します。,/images/creators/creator-021/icon.svg,/images/creators/creator-021/main.svg,https://example.com/instagram/touka,https://example.com/x/touka,https://example.com/touka,Soft Signal 021,淡い光、紙の質感、視線の揺れを重ねたシリーズ作品。会場での距離によって印象が変化する。,/images/creators/creator-021/main.svg,Unlabeled Bloom 021,名前のない感情が形になる直前を扱った小作品。羽花展のコンセプトに合わせて再構成予定。,/images/creators/creator-021/main.svg
creator-022,夏目 紡,tsumugu,Graphic Design,身体感覚、記憶、都市の温度を横断しながら、鑑賞者の内側に残る像を探っている。Graphic Designを軸に、展示空間で立ち上がる視線の動きを大切にしている。,見落とされがちな気配を作品化し、鑑賞者が自分の記憶と照らし合わせられる余白を残します。,/images/creators/creator-022/icon.svg,/images/creators/creator-022/main.svg,https://example.com/instagram/tsumugu,https://example.com/x/tsumugu,https://example.com/tsumugu,Soft Signal 022,淡い光、紙の質感、視線の揺れを重ねたシリーズ作品。会場での距離によって印象が変化する。,/images/creators/creator-022/main.svg,Unlabeled Bloom 022,名前のない感情が形になる直前を扱った小作品。羽花展のコンセプトに合わせて再構成予定。,/images/creators/creator-022/main.svg
creator-023,黒瀬 明,akira,Photography,素材の手触りとデジタルの精度を行き来し、未完成の美しさを作品に定着させる。Photographyを軸に、展示空間で立ち上がる視線の動きを大切にしている。,偶然に生まれるにじみ、影、反射を受け入れながら、完成と未完成の境界を扱います。,/images/creators/creator-023/icon.svg,/images/creators/creator-023/main.svg,https://example.com/instagram/akira,https://example.com/x/akira,https://example.com/akira,Soft Signal 023,淡い光、紙の質感、視線の揺れを重ねたシリーズ作品。会場での距離によって印象が変化する。,/images/creators/creator-023/main.svg,Unlabeled Bloom 023,名前のない感情が形になる直前を扱った小作品。羽花展のコンセプトに合わせて再構成予定。,/images/creators/creator-023/main.svg
creator-024,三枝 音,oto,Fashion,淡い色彩と緻密な構図で、言葉になる前の感情を視覚化することをテーマに活動。Fashionを軸に、展示空間で立ち上がる視線の動きを大切にしている。,花が咲く前の沈黙と、羽が空気を掴む直前の緊張をモチーフにしています。,/images/creators/creator-024/icon.svg,/images/creators/creator-024/main.svg,https://example.com/instagram/oto,https://example.com/x/oto,https://example.com/oto,Soft Signal 024,淡い光、紙の質感、視線の揺れを重ねたシリーズ作品。会場での距離によって印象が変化する。,/images/creators/creator-024/main.svg,Unlabeled Bloom 024,名前のない感情が形になる直前を扱った小作品。羽花展のコンセプトに合わせて再構成予定。,/images/creators/creator-024/main.svg
creator-025,星野 淡,awa,Music,個人的な記録を起点に、同世代の不安や期待が重なる瞬間を表現している。Musicを軸に、展示空間で立ち上がる視線の動きを大切にしている。,匿名性のある都市の風景から、個人の輪郭がふっと立ち上がる感覚を探ります。,/images/creators/creator-025/icon.svg,/images/creators/creator-025/main.svg,https://example.com/instagram/awa,https://example.com/x/awa,https://example.com/awa,Soft Signal 025,淡い光、紙の質感、視線の揺れを重ねたシリーズ作品。会場での距離によって印象が変化する。,/images/creators/creator-025/main.svg,Unlabeled Bloom 025,名前のない感情が形になる直前を扱った小作品。羽花展のコンセプトに合わせて再構成予定。,/images/creators/creator-025/main.svg
creator-026,有坂 円,madoka,Installation,日常の中に残る小さな違和感を採集し、静かな線と余白で再構成するクリエイター。Installationを軸に、展示空間で立ち上がる視線の動きを大切にしている。,羽花展では、軽やかさと脆さが同時に存在する瞬間を、複数のレイヤーとして提示します。,/images/creators/creator-026/icon.svg,/images/creators/creator-026/main.svg,https://example.com/instagram/madoka,https://example.com/x/madoka,https://example.com/madoka,Soft Signal 026,淡い光、紙の質感、視線の揺れを重ねたシリーズ作品。会場での距離によって印象が変化する。,/images/creators/creator-026/main.svg,Unlabeled Bloom 026,名前のない感情が形になる直前を扱った小作品。羽花展のコンセプトに合わせて再構成予定。,/images/creators/creator-026/main.svg
creator-027,葉山 光,hikari,Painting,身体感覚、記憶、都市の温度を横断しながら、鑑賞者の内側に残る像を探っている。Paintingを軸に、展示空間で立ち上がる視線の動きを大切にしている。,見落とされがちな気配を作品化し、鑑賞者が自分の記憶と照らし合わせられる余白を残します。,/images/creators/creator-027/icon.svg,/images/creators/creator-027/main.svg,https://example.com/instagram/hikari,https://example.com/x/hikari,https://example.com/hikari,Soft Signal 027,淡い光、紙の質感、視線の揺れを重ねたシリーズ作品。会場での距離によって印象が変化する。,/images/creators/creator-027/main.svg,Unlabeled Bloom 027,名前のない感情が形になる直前を扱った小作品。羽花展のコンセプトに合わせて再構成予定。,/images/creators/creator-027/main.svg
creator-028,小鳥遊 糸,ito,Digital Art,素材の手触りとデジタルの精度を行き来し、未完成の美しさを作品に定着させる。Digital Artを軸に、展示空間で立ち上がる視線の動きを大切にしている。,偶然に生まれるにじみ、影、反射を受け入れながら、完成と未完成の境界を扱います。,/images/creators/creator-028/icon.svg,/images/creators/creator-028/main.svg,https://example.com/instagram/ito,https://example.com/x/ito,https://example.com/ito,Soft Signal 028,淡い光、紙の質感、視線の揺れを重ねたシリーズ作品。会場での距離によって印象が変化する。,/images/creators/creator-028/main.svg,Unlabeled Bloom 028,名前のない感情が形になる直前を扱った小作品。羽花展のコンセプトに合わせて再構成予定。,/images/creators/creator-028/main.svg
creator-029,藤代 眠,nemu,Mixed Media,淡い色彩と緻密な構図で、言葉になる前の感情を視覚化することをテーマに活動。Mixed Mediaを軸に、展示空間で立ち上がる視線の動きを大切にしている。,花が咲く前の沈黙と、羽が空気を掴む直前の緊張をモチーフにしています。,/images/creators/creator-029/icon.svg,/images/creators/creator-029/main.svg,https://example.com/instagram/nemu,https://example.com/x/nemu,https://example.com/nemu,Soft Signal 029,淡い光、紙の質感、視線の揺れを重ねたシリーズ作品。会場での距離によって印象が変化する。,/images/creators/creator-029/main.svg,Unlabeled Bloom 029,名前のない感情が形になる直前を扱った小作品。羽花展のコンセプトに合わせて再構成予定。,/images/creators/creator-029/main.svg
creator-030,桐生 露,tsuyu,Product,個人的な記録を起点に、同世代の不安や期待が重なる瞬間を表現している。Productを軸に、展示空間で立ち上がる視線の動きを大切にしている。,匿名性のある都市の風景から、個人の輪郭がふっと立ち上がる感覚を探ります。,/images/creators/creator-030/icon.svg,/images/creators/creator-030/main.svg,https://example.com/instagram/tsuyu,https://example.com/x/tsuyu,https://example.com/tsuyu,Soft Signal 030,淡い光、紙の質感、視線の揺れを重ねたシリーズ作品。会場での距離によって印象が変化する。,/images/creators/creator-030/main.svg,Unlabeled Bloom 030,名前のない感情が形になる直前を扱った小作品。羽花展のコンセプトに合わせて再構成予定。,/images/creators/creator-030/main.svg
